"기업규모별","산업분류","시점","항목",데이터
"1규모(상용근로자 10~29인)","B.광업(05~08)","2019","상여금 및 성과금 (천원)",243.3
"1규모(상용근로자 10~29인)","B.광업(05~08)","2019","법정외 복지비용 (천원)",235.7
"1규모(상용근로자 10~29인)","B.광업(05~08)","2019","채용관련비용(모집비) (천원)",0.2
"1규모(상용근로자 10~29인)","B.광업(05~08)","2019","교육훈련비용 (천원)",3.1
"1규모(상용근로자 10~29인)","B.광업(05~08)","2020","상여금 및 성과금 (천원)",237.1
"1규모(상용근로자 10~29인)","B.광업(05~08)","2020","법정외 복지비용 (천원)",302.4
"1규모(상용근로자 10~29인)","B.광업(05~08)","2020","채용관련비용(모집비) (천원)",1.5
"1규모(상용근로자 10~29인)","B.광업(05~08)","2020","교육훈련비용 (천원)",1.5
"1규모(상용근로자 10~29인)","B.광업(05~08)","2021","상여금 및 성과금 (천원)",303.8
"1규모(상용근로자 10~29인)","B.광업(05~08)","2021","법정외 복지비용 (천원)",299.5
"1규모(상용근로자 10~29인)","B.광업(05~08)","2021","채용관련비용(모집비) (천원)",0.5
"1규모(상용근로자 10~29인)","B.광업(05~08)","2021","교육훈련비용 (천원)",1.2
"1규모(상용근로자 10~29인)","B.광업(05~08)","2022","상여금 및 성과금 (천원)",229.6
"1규모(상용근로자 10~29인)","B.광업(05~08)","2022","법정외 복지비용 (천원)",176.2
"1규모(상용근로자 10~29인)","B.광업(05~08)","2022","채용관련비용(모집비) (천원)",0.4
"1규모(상용근로자 10~29인)","B.광업(05~08)","2022","교육훈련비용 (천원)",1.9
"1규모(상용근로자 10~29인)","C.제조업(10~34)","2019","상여금 및 성과금 (천원)",237.4
"1규모(상용근로자 10~29인)","C.제조업(10~34)","2019","법정외 복지비용 (천원)",152.0
"1규모(상용근로자 10~29인)","C.제조업(10~34)","2019","채용관련비용(모집비) (천원)",0.7
"1규모(상용근로자 10~29인)","C.제조업(10~34)","2019","교육훈련비용 (천원)",3.2
"1규모(상용근로자 10~29인)","C.제조업(10~34)","2020","상여금 및 성과금 (천원)",187.5
"1규모(상용근로자 10~29인)","C.제조업(10~34)","2020","법정외 복지비용 (천원)",154.4
"1규모(상용근로자 10~29인)","C.제조업(10~34)","2020","채용관련비용(모집비) (천원)",0.5
